experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_163,36,0.9481360755163053,0.939795918367347,46,44.05371022224426,0.957689352657484,"[128, 64]",relu,0.2,False,adamw,0.0005,100,32
full_grid,config_33,45,0.9479913620503099,0.939795918367347,55,43.42850399017334,0.789609163457697,[32],tanh,0.0,False,rmsprop,0.001,100,32
full_grid,config_106,16,0.94774255909852,0.9387755102040817,26,8.026324987411499,0.3087048072081346,"[64, 32]",relu,0.0,False,rmsprop,0.001,100,128
full_grid,config_151,14,0.9476331820509217,0.939795918367347,24,23.46424913406372,0.977677047252655,"[128, 64]",relu,0.0,False,adamw,0.0005,100,32
full_grid,config_185,26,0.9475734000962072,0.9408163265306122,36,34.14165496826172,0.9483793046739366,"[128, 64]",tanh,0.2,False,adamw,0.001,100,32
full_grid,config_49,17,0.9474211066291611,0.9387755102040817,27,22.45105504989624,0.8315205574035645,[64],relu,0.0,False,adam,0.001,100,32
full_grid,config_101,11,0.947321371092153,0.939795918367347,21,19.889100790023804,0.9471000376201811,"[64, 32]",relu,0.0,False,adamw,0.001,100,32
full_grid,config_17,24,0.9472105679575439,0.9418367346938775,34,26.82859992980957,0.7890764685238109,[32],relu,0.2,False,adamw,0.001,100,32
full_grid,config_85,41,0.9471725414286262,0.939795918367347,51,40.117411851882935,0.7866159186643713,[64],tanh,0.2,False,adam,0.001,100,32
full_grid,config_51,36,0.9471447730351141,0.9387755102040817,46,35.47941994667053,0.7712917379710985,[64],relu,0.0,False,adam,0.0005,100,32
full_grid,config_160,36,0.9470802617245739,0.9377551020408164,46,12.976816177368164,0.28210469950800354,"[128, 64]",relu,0.2,False,adam,0.0005,100,128
full_grid,config_182,39,0.9470589023169401,0.9387755102040817,49,14.22986102104187,0.2904053269600382,"[128, 64]",tanh,0.2,False,adam,0.001,100,128
full_grid,config_112,35,0.9470130249821302,0.9418367346938775,45,12.902353763580322,0.2867189725240072,"[64, 32]",relu,0.2,False,adam,0.0005,100,128
full_grid,config_109,17,0.9469449332626486,0.939795918367347,27,26.2949538230896,0.9738871786329482,"[64, 32]",relu,0.2,False,adam,0.001,100,32
full_grid,config_57,36,0.9467920568806049,0.9377551020408164,46,32.12493681907654,0.6983681917190552,[64],relu,0.0,False,rmsprop,0.001,100,32
full_grid,config_158,21,0.9467722419836829,0.939795918367347,31,9.215634822845459,0.29727854267243414,"[128, 64]",relu,0.2,False,adam,0.001,100,128
full_grid,config_52,40,0.9467212376181975,0.9377551020408164,50,10.926373958587646,0.21852747917175294,[64],relu,0.0,False,adam,0.0005,100,128
full_grid,config_183,18,0.9466281212084425,0.9408163265306122,28,29.58525276184082,1.0566161700657435,"[128, 64]",tanh,0.2,False,adam,0.0005,100,32
full_grid,config_7,19,0.946540418616883,0.9387755102040817,29,22.080530881881714,0.7613976166166109,[32],relu,0.0,False,adamw,0.0005,100,32
full_grid,config_61,18,0.9465307781839793,0.9387755102040817,28,22.592698097229004,0.8068820749010358,[64],relu,0.2,False,adam,0.001,100,32
full_grid,config_192,20,0.9464907329189699,0.9418367346938775,30,9.462008237838745,0.31540027459462483,"[128, 64]",tanh,0.2,False,rmsprop,0.0005,100,128
full_grid,config_103,19,0.9464767303803695,0.9387755102040817,29,27.0761559009552,0.9336605483088,"[64, 32]",relu,0.0,False,adamw,0.0005,100,32
full_grid,config_99,17,0.9464452781162904,0.9387755102040817,27,25.40392804145813,0.9408862237577085,"[64, 32]",relu,0.0,False,adam,0.0005,100,32
full_grid,config_177,8,0.9464210143978715,0.9387755102040817,18,17.153323888778687,0.9529624382654825,"[128, 64]",tanh,0.0,False,rmsprop,0.001,100,32
